"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - bjps revisions - varying population sizes.nlogo"
"sensitivity_to_random_pairing_majority_minority"
"08/06/2022 14:22:06:914 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","shift","[step]","success?","collapse?"
"266","false","0.2","0","false","0.5","1","0","0.01","516","true","false"
"263","false","0.2","0","false","0.5","1","0","0.01","907","true","false"
"269","false","0.2","0","false","0.5","1","0","0.01","296","true","false"
"265","false","0.2","0","false","0.5","1","0","0.01","1282","true","false"
"268","false","0.2","0","false","0.5","1","0","0.01","715","true","false"
"272","false","0.2","0","false","0.5","1","0","0.01","360","true","false"
"273","false","0.2","0","false","0.5","1","0","0.01","251","true","false"
"271","false","0.2","0","false","0.5","1","0","0.01","809","true","false"
"270","false","0.2","0","false","0.5","1","0","0.01","771","true","false"
"274","false","0.2","0","false","0.5","1","0","0.01","510","true","false"
"277","false","0.2","0","false","0.5","1","0","0.01","308","true","false"
"276","false","0.2","0","false","0.5","1","0","0.01","510","true","false"
"275","false","0.2","0","false","0.5","1","0","0.01","813","true","false"
"280","false","0.2","0","false","0.5","1","0","0.01","313","true","false"
"279","false","0.2","0","false","0.5","1","0","0.01","357","true","false"
"278","false","0.2","0","false","0.5","1","0","0.01","688","true","false"
"281","false","0.2","0","false","0.5","1","0","0.01","442","true","false"
"282","false","0.2","0","false","0.5","1","0","0.01","393","true","false"
"284","false","0.2","0","false","0.5","1","0","0.01","381","true","false"
"287","false","0.2","0","false","0.5","1","0","0.01","159","true","false"
"286","false","0.2","0","false","0.5","1","0","0.01","594","true","false"
"288","false","0.2","0","false","0.5","1","0","0.01","406","true","false"
"289","false","0.2","0","false","0.5","1","0","0.01","77","false","true"
"285","false","0.2","0","false","0.5","1","0","0.01","906","true","false"
"291","false","0.2","0","false","0.5","1","0","0.01","341","true","false"
"292","false","0.2","0","false","0.5","1","0","0.01","648","true","false"
"290","false","0.2","0","false","0.5","1","0","0.01","814","true","false"
"283","false","0.2","0","false","0.5","1","0","0.01","1612","true","false"
"293","false","0.2","0","false","0.5","1","0","0.01","621","true","false"
"294","false","0.2","0","false","0.5","1","0","0.01","521","true","false"
"295","false","0.2","0","false","0.5","1","0","0.01","537","true","false"
"296","false","0.2","0","false","0.5","1","0","0.01","420","true","false"
"297","false","0.2","0","false","0.5","1","0","0.01","724","true","false"
"299","false","0.2","0","false","0.5","1","0","0.01","564","true","false"
"298","false","0.2","0","false","0.5","1","0","0.01","713","true","false"
"303","false","0.2","0","false","0.5","1","0","0.1","27","false","true"
"300","false","0.2","0","false","0.5","1","0","0.01","659","true","false"
"305","false","0.2","0","false","0.5","1","0","0.1","46","false","true"
"304","false","0.2","0","false","0.5","1","0","0.1","321","true","false"
"306","false","0.2","0","false","0.5","1","0","0.1","30","false","true"
"308","false","0.2","0","false","0.5","1","0","0.1","63","false","true"
"302","false","0.2","0","false","0.5","1","0","0.1","578","true","false"
"310","false","0.2","0","false","0.5","1","0","0.1","238","true","false"
"309","false","0.2","0","false","0.5","1","0","0.1","296","true","false"
"311","false","0.2","0","false","0.5","1","0","0.1","176","true","false"
"301","false","0.2","0","false","0.5","1","0","0.1","1187","true","false"
"314","false","0.2","0","false","0.5","1","0","0.1","28","false","true"
"307","false","0.2","0","false","0.5","1","0","0.1","598","true","false"
"316","false","0.2","0","false","0.5","1","0","0.1","22","false","true"
"312","false","0.2","0","false","0.5","1","0","0.1","284","true","false"
"313","false","0.2","0","false","0.5","1","0","0.1","386","true","false"
"319","false","0.2","0","false","0.5","1","0","0.1","43","false","true"
"320","false","0.2","0","false","0.5","1","0","0.1","21","false","true"
"317","false","0.2","0","false","0.5","1","0","0.1","418","true","false"
"321","false","0.2","0","false","0.5","1","0","0.1","38","false","true"
"322","false","0.2","0","false","0.5","1","0","0.1","55","false","true"
"315","false","0.2","0","false","0.5","1","0","0.1","648","true","false"
"324","false","0.2","0","false","0.5","1","0","0.1","377","true","false"
"325","false","0.2","0","false","0.5","1","0","0.1","271","true","false"
"323","false","0.2","0","false","0.5","1","0","0.1","678","true","false"
"328","false","0.2","0","false","0.5","1","0","0.1","78","false","true"
"329","false","0.2","0","false","0.5","1","0","0.1","30","false","true"
"327","false","0.2","0","false","0.5","1","0","0.1","432","true","false"
"326","false","0.2","0","false","0.5","1","0","0.1","646","true","false"
"318","false","0.2","0","false","0.5","1","0","0.1","1163","true","false"
"333","false","0.2","0","false","0.5","1","0","0.1","88","false","true"
"331","false","0.2","0","false","0.5","1","0","0.1","427","true","false"
"330","false","0.2","0","false","0.5","1","0","0.1","748","true","false"
"332","false","0.2","0","false","0.5","1","0","0.1","661","true","false"
"334","false","0.2","0","false","0.5","1","0","0.1","383","true","false"
"337","false","0.2","0","false","0.5","1","0","0.1","254","true","false"
"339","false","0.2","0","false","0.5","1","0","0.1","25","false","true"
"335","false","0.2","0","false","0.5","1","0","0.1","770","true","false"
"341","false","0.2","0","false","0.5","1","0","0.1","24","false","true"
"336","false","0.2","0","false","0.5","1","0","0.1","600","true","false"
"338","false","0.2","0","false","0.5","1","0","0.1","302","true","false"
"340","false","0.2","0","false","0.5","1","0","0.1","304","true","false"
"342","false","0.2","0","false","0.5","1","0","0.1","384","true","false"
