"[run number]","mr_marker","random-pairing","game","initial_proportion_ethnic_learning","mr_learning_style","ethnic_bias?","mr_strategy","[step]","success?","collapse?"
"425","0","0.1","1","0.5","0","true","0","1031","true","false"
"424","0","0.1","1","0.5","0","true","0","1968","true","false"
"423","0","0.1","1","0.5","0","true","0","2700","true","false"
"427","0","0.1","1","0.5","0","true","0","982","true","false"
"428","0","0.1","1","0.5","0","true","0","991","true","false"
"430","0","0.1","1","0.5","0","true","0","922","true","false"
"426","0","0.1","1","0.5","0","true","0","1842","true","false"
"432","0","0.1","1","0.5","0","true","0","802","true","false"
"431","0","0.1","1","0.5","0","true","0","2126","true","false"
"429","0","0.1","1","0.5","0","true","0","2895","true","false"
"433","0","0.1","1","0.5","0","true","0","1314","true","false"
"434","0","0.1","1","0.5","0","true","0","1748","true","false"
"435","0","0.1","1","0.5","0","true","0","1034","true","false"
"439","0","0.1","1","0.5","0","true","0","730","true","false"
"438","0","0.1","1","0.5","0","true","0","974","true","false"
"440","0","0.1","1","0.5","0","true","0","619","true","false"
"436","0","0.1","1","0.5","0","true","0","2184","true","false"
"441","0","0.1","1","0.5","0","true","0","1061","true","false"
"443","0","0.1","1","0.5","0","true","0","901","true","false"
"444","0","0.1","1","0.5","0","true","0","472","true","false"
"442","0","0.1","1","0.5","0","true","0","1219","true","false"
"437","0","0.1","1","0.5","0","true","0","2345","true","false"
"445","0","0.1","1","0.5","0","true","0","774","true","false"
"446","0","0.1","1","0.5","0","true","0","868","true","false"
"448","0","0.1","1","0.5","0","true","0","1229","true","false"
"447","0","0.1","1","0.5","0","true","0","2167","true","false"
"450","0","0.1","1","0.5","0","true","0","1509","true","false"
"451","0","0.1","1","0.5","0","true","0","625","true","false"
"454","0","0.1","1","0.5","0","true","0","740","true","false"
"453","0","0.1","1","0.5","0","true","0","1215","true","false"
"449","0","0.1","1","0.5","0","true","0","2825","true","false"
"456","0","0.1","1","0.5","0","true","0","1419","true","false"
"457","0","0.1","1","0.5","0","true","0","1825","true","false"
"458","0","0.1","1","0.5","0","true","0","729","true","false"
"452","0","0.1","1","0.5","0","true","0","4000","false","false"
"460","0","0.1","1","0.5","0","true","0","652","true","false"
"459","0","0.1","1","0.5","0","true","0","1155","true","false"
"455","0","0.1","1","0.5","0","true","0","2780","true","false"
"463","0","0.1","1","0.5","0","true","0","977","true","false"
"465","0","0.1","1","0.5","0","true","0","1430","true","false"
"462","0","0.1","1","0.5","0","true","0","2887","true","false"
"461","0","0.1","1","0.5","0","true","0","3466","true","false"
"464","0","0.1","1","0.5","0","true","0","1636","true","false"
"468","0","0.1","1","0.5","0","true","0","844","true","false"
"466","0","0.1","1","0.5","0","true","0","1954","true","false"
"467","0","0.1","1","0.5","0","true","0","2150","true","false"
"471","0","0.1","1","0.5","0","true","0","700","true","false"
"469","0","0.1","1","0.5","0","true","0","2261","true","false"
"472","0","0.1","1","0.5","0","true","0","1462","true","false"
"473","0","0.1","1","0.5","0","true","0","1396","true","false"
"470","0","0.1","1","0.5","0","true","0","2706","true","false"
"476","0","0.1","1","0.5","0","true","0","780","true","false"
"475","0","0.1","1","0.5","0","true","0","1285","true","false"
"477","0","0.1","1","0.5","0","true","0","1191","true","false"
"478","0","0.1","1","0.5","0","true","0","1026","true","false"
"479","0","0.1","1","0.5","0","true","0","1119","true","false"
