"BehaviorSpace results (NetLogo 6.1.1)"
"ethnicity bias learning - github version.nlogo"
"sensitivity_to_random_pairing"
"04/19/2022 14:20:24:101 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","25","0","9"
"[run number]","spatial?","random-pairing","mr_learning_strategy","conditional_strategies?","initial_proportion_ethnic_learning","plays_per_learn","mr_strategy","[step]","success?","collapse?"
"384","false","0.1","0","false","0.5","1","0","922","true","false"
"385","false","0.1","0","false","0.5","1","0","739","true","false"
"387","false","0.1","0","false","0.5","1","0","1117","true","false"
"386","false","0.1","0","false","0.5","1","0","1637","true","false"
"389","false","0.1","0","false","0.5","1","0","1164","true","false"
"392","false","0.1","0","false","0.5","1","0","100","false","true"
"388","false","0.1","0","false","0.5","1","0","1429","true","false"
"393","false","0.1","0","false","0.5","1","0","1050","true","false"
"394","false","0.1","0","false","0.5","1","0","1057","true","false"
"390","false","0.1","0","false","0.5","1","0","1533","true","false"
"391","false","0.1","0","false","0.5","1","0","1987","true","false"
"395","false","0.1","0","false","0.5","1","0","1044","true","false"
"397","false","0.1","0","false","0.5","1","0","1020","true","false"
"398","false","0.1","0","false","0.5","1","0","1046","true","false"
"400","false","0.1","0","false","0.5","1","0","1129","true","false"
"401","false","0.1","0","false","0.5","1","0","895","true","false"
"399","false","0.1","0","false","0.5","1","0","1577","true","false"
"403","false","0.1","0","false","0.5","1","0","407","true","false"
"404","false","0.1","0","false","0.5","1","0","733","true","false"
"396","false","0.1","0","false","0.5","1","0","3349","true","false"
"405","false","0.1","0","false","0.5","1","0","1185","true","false"
"402","false","0.1","0","false","0.5","1","0","1630","true","false"
"406","false","0.1","0","false","0.5","1","0","993","true","false"
"407","false","0.1","0","false","0.5","1","0","1513","true","false"
"408","false","0.1","0","false","0.5","1","0","1659","true","false"
"409","false","0.1","0","false","0.5","1","0","1375","true","false"
"411","false","0.1","0","false","0.5","1","0","1138","true","false"
"414","false","0.1","0","false","0.5","1","0","1383","true","false"
"413","false","0.1","0","false","0.5","1","0","1694","true","false"
"412","false","0.1","0","false","0.5","1","0","2113","true","false"
"410","false","0.1","0","false","0.5","1","0","4788","true","false"
"418","false","0.1","0","false","0.5","1","0","810","true","false"
"417","false","0.1","0","false","0.5","1","0","2178","true","false"
"415","false","0.1","0","false","0.5","1","0","2822","true","false"
"416","false","0.1","0","false","0.5","1","0","2992","true","false"
"420","false","0.1","0","false","0.5","1","0","1001","true","false"
"419","false","0.1","0","false","0.5","1","0","1135","true","false"
"421","false","0.1","0","false","0.5","1","0","970","true","false"
"425","false","0.1","0","false","0.5","1","0","747","true","false"
"422","false","0.1","0","false","0.5","1","0","1405","true","false"
"423","false","0.1","0","false","0.5","1","0","1583","true","false"
"426","false","0.1","0","false","0.5","1","0","531","true","false"
"424","false","0.1","0","false","0.5","1","0","1748","true","false"
"430","false","0.1","0","false","0.5","1","0","563","true","false"
"429","false","0.1","0","false","0.5","1","0","920","true","false"
"428","false","0.1","0","false","0.5","1","0","1142","true","false"
"427","false","0.1","0","false","0.5","1","0","1853","true","false"
"431","false","0.1","0","false","0.5","1","0","1195","true","false"
"432","false","0.1","0","false","0.5","1","0","1197","true","false"
